playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8469459,2015,Mikko Koivu,MIN,C,other,82,7197.0,116.0,50.37,0.55,0.45,0.59,0.34,0.59,0.36,206.0,11.07,4.21,0.65,1.39,0.33,4.95,3.48,4.12,4.21,4.12,0.0,3.0,11.0,4.0,4.0,19.0,7.0,4.0,1.0,0.0,2.0,0.0,3.0,5.0,7.0,11.0,4.0,8.0,63.0,2.0,1.0,3.0,5.0,4.0,6.0,0.21,0.47,3.53,0.0,0.0,4.0,19.0,15.0,15.0,2.0,0.21,0.18,0.73,3.68,3.68,3.66,116.0,32.0,20.0,22.0,42.0,14.0,8.0,27.0,67.0,63.0,62.0,8007.0,8.0,0.0,0.0,7.0,82.18,16.58,15.41,16.58,15.41,92.0,22.0,52.0,166.0,13.0,8.0,1.0,64.0,29.0,21.0,2.37,3.95,10.26,2.0,2.0,9.0,166.0,114.0,114.0,1.94,2.72,2.72,15.8,15.8,14.93,54.35,13.38,12.94,13.38,12.94,56.0,23.0,37.0,116.0,15.0,5.0,1.0,42.0,18.0,19.0,1.62,2.15,9.61,1.0,1.0,13.0,116.0,79.0,79.0,1.05,0.81,0.81,13.62,13.62,13.18,7.69,9.24,72.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0
8469459,2015,Mikko Koivu,MIN,C,all,82,98051.0,1968.0,56.73,0.6,0.48,0.57,0.45,0.57,0.46,162.0,145.04,19.81,10.15,30.13,4.52,81.73,55.66,18.34,19.79,18.32,18.0,21.0,141.0,61.0,75.0,277.0,56.0,17.0,18.0,2.0,25.0,5.0,71.0,66.0,124.0,185.0,20.0,40.0,987.0,38.0,37.0,45.0,137.0,43.0,22.0,4.08,5.0,10.73,0.0,6.0,11.0,276.3,202.0,201.28,24.0,2.33,5.01,4.33,17.81,17.81,16.93,1968.0,414.0,281.0,394.0,879.0,240.0,225.0,328.0,1175.0,987.0,771.0,200659.0,40.0,24.0,12.0,57.0,887.76,92.26,85.76,92.3,85.81,882.0,365.0,460.0,1707.0,95.0,75.0,17.0,896.0,260.0,91.0,25.24,30.94,36.07,23.0,34.0,38.0,1705.94,1247.0,1246.58,15.68,18.61,18.61,89.33,89.38,84.99,672.54,60.89,58.55,60.96,58.62,674.0,271.0,344.0,1289.0,70.0,47.0,6.0,725.0,168.0,52.0,20.54,20.43,19.92,30.0,18.0,22.0,1287.62,945.0,945.14,9.9,8.63,8.92,61.87,62.0,60.63,128.34,141.04,2672.0,3271.0,0.0,0.0,0.0,0.0,0.0,0.0
8469459,2015,Mikko Koivu,MIN,C,5on5,82,71041.0,1492.0,56.73,0.55,0.49,0.52,0.46,0.52,0.47,287.0,101.38,7.44,6.78,23.11,3.19,59.26,43.21,7.19,7.43,7.18,13.0,12.0,98.0,45.0,53.0,196.0,29.0,4.0,13.0,1.0,22.0,5.0,50.0,49.0,94.0,139.0,14.0,28.0,675.0,34.0,33.0,33.0,112.0,27.0,4.0,3.34,3.11,0.99,0.0,3.0,1.0,195.3,143.0,142.28,18.0,1.39,3.16,1.24,7.59,7.59,7.47,1492.0,226.0,156.0,338.0,772.0,193.0,187.0,232.0,880.0,675.0,515.0,167844.0,28.0,22.0,11.0,46.0,561.22,43.91,42.55,43.96,42.59,545.0,242.0,270.0,1057.0,50.0,41.0,12.0,606.0,144.0,37.0,17.39,16.69,9.83,14.0,22.0,14.0,1055.94,787.0,786.58,7.72,9.35,9.35,42.27,42.32,41.62,506.7,36.03,34.88,36.09,34.96,500.0,214.0,267.0,981.0,39.0,28.0,5.0,580.0,111.0,23.0,16.06,13.42,6.55,20.0,13.0,6.0,979.62,714.0,714.14,6.49,5.79,6.09,36.43,36.56,36.2,98.94,103.7,2298.0,2674.0,1.61,1.14,37.0,36.0,24.0,26.0
8469459,2015,Mikko Koivu,MIN,C,4on5,82,4366.0,153.0,42.91,0.07,0.1,0.06,0.09,0.07,0.11,271.0,0.84,0.16,0.06,0.09,0.02,0.21,0.46,0.16,0.16,0.16,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.16,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.01,0.0,0.0,0.17,0.17,0.17,153.0,2.0,100.0,11.0,40.0,4.0,20.0,23.0,106.0,62.0,93.0,12903.0,0.0,0.0,0.0,0.0,6.12,0.67,0.67,0.67,0.67,8.0,0.0,1.0,9.0,3.0,0.0,0.0,5.0,2.0,1.0,0.18,0.25,0.23,2.0,1.0,0.0,9.0,8.0,8.0,0.08,0.0,0.0,0.74,0.74,0.74,73.24,8.39,7.66,8.39,7.66,76.0,24.0,32.0,132.0,12.0,12.0,0.0,66.0,25.0,9.0,1.87,2.97,3.55,7.0,2.0,3.0,132.0,100.0,100.0,1.9,1.78,1.78,8.52,8.52,7.97,2.05,18.92,35.0,338.0,0.0,0.11,0.0,1.0,0.0,1.0
8469459,2015,Mikko Koivu,MIN,C,5on4,82,15447.0,207.0,54.59,0.93,0.9,0.9,0.87,0.88,0.87,227.0,30.2,7.16,2.53,5.28,0.91,16.87,8.24,6.06,7.16,6.06,4.0,5.0,30.0,11.0,18.0,59.0,16.0,7.0,4.0,1.0,1.0,0.0,18.0,11.0,23.0,34.0,2.0,4.0,176.0,1.0,2.0,6.0,20.0,11.0,10.0,0.52,1.27,5.37,0.0,2.0,5.0,59.0,41.0,41.0,1.0,0.69,1.66,2.11,5.73,5.73,5.0,207.0,154.0,5.0,23.0,25.0,29.0,10.0,46.0,122.0,176.0,77.0,9250.0,4.0,2.0,1.0,4.0,229.93,29.2,25.43,29.2,25.43,231.0,95.0,133.0,459.0,27.0,25.0,4.0,218.0,79.0,29.0,5.19,9.46,14.54,5.0,8.0,14.0,459.0,326.0,326.0,5.74,6.29,6.29,28.65,28.65,25.99,31.03,2.11,2.1,2.11,2.1,35.0,8.0,7.0,50.0,2.0,1.0,0.0,34.0,9.0,0.0,0.83,1.28,0.0,1.0,1.0,0.0,50.0,43.0,43.0,0.29,0.08,0.08,2.32,2.32,2.32,16.25,1.8,232.0,34.0,0.27,0.0,2.0,0.0,2.0,0.0
8477845,2015,Trevor van Riemsdyk,CHI,D,other,82,3319.0,77.0,15.5,0.51,0.61,0.44,0.57,0.43,0.53,189.0,4.94,0.46,0.32,1.14,0.18,2.94,1.98,0.42,0.46,0.42,0.0,1.0,6.0,1.0,2.0,9.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,5.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.11,0.1,0.24,0.0,0.0,1.0,9.0,7.0,7.0,1.0,0.08,0.0,0.34,0.19,0.19,0.19,77.0,11.0,14.0,5.0,47.0,9.0,12.0,15.0,41.0,0.0,0.0,7073.0,0.0,0.0,0.0,6.0,32.88,6.54,6.43,6.54,6.43,33.0,13.0,15.0,61.0,6.0,2.0,1.0,27.0,10.0,9.0,0.96,1.22,4.36,1.0,1.0,4.0,61.0,46.0,46.0,0.62,0.34,0.34,6.81,6.81,6.73,43.91,6.35,5.95,6.35,5.95,44.0,16.0,19.0,79.0,5.0,3.0,2.0,40.0,13.0,7.0,1.22,1.7,3.43,1.0,0.0,4.0,79.0,60.0,60.0,0.95,1.79,1.79,5.5,5.5,5.4,26.02,16.9,186.0,139.0,0.07,0.0,3.0,0.0,1.0,0.0
8477845,2015,Trevor van Riemsdyk,CHI,D,all,82,98320.0,2286.0,21.37,0.47,0.52,0.47,0.52,0.47,0.51,305.0,81.52,3.91,5.29,20.57,2.7,51.96,37.58,3.77,3.89,3.75,7.0,4.0,85.0,37.0,72.0,194.0,14.0,3.0,7.0,2.0,23.0,3.0,37.0,49.0,82.0,119.0,14.0,31.0,0.0,44.0,17.0,45.0,112.0,9.0,1.0,2.71,0.96,0.24,1.0,1.0,1.0,192.54,122.0,121.89,42.0,1.1,1.1,0.76,4.25,4.23,4.1,2286.0,248.0,248.0,329.0,1461.0,276.0,299.0,332.0,1379.0,0.0,0.0,200035.0,31.0,25.0,11.0,155.0,737.02,62.83,61.23,63.16,61.55,754.0,268.0,389.0,1411.0,58.0,42.0,8.0,793.0,173.0,56.0,23.41,21.13,18.3,22.0,18.0,18.0,1418.3,1022.0,1029.61,10.46,8.29,9.24,64.05,64.35,63.35,821.86,70.34,67.79,70.3,67.76,852.0,290.0,439.0,1581.0,74.0,61.0,17.0,880.0,195.0,67.0,24.48,22.8,23.06,24.0,20.0,30.0,1575.25,1142.0,1136.28,12.45,16.03,16.4,66.33,66.2,65.0,162.52,152.11,3182.0,2952.0,0.0,0.0,0.0,0.0,0.0,0.0
8477845,2015,Trevor van Riemsdyk,CHI,D,5on5,82,84184.0,1921.0,21.37,0.5,0.48,0.5,0.51,0.5,0.5,268.0,65.45,2.85,4.05,17.04,2.17,41.99,30.9,2.79,2.83,2.76,6.0,1.0,67.0,32.0,65.0,164.0,9.0,2.0,6.0,1.0,21.0,3.0,28.0,39.0,65.0,97.0,14.0,31.0,0.0,39.0,14.0,35.0,93.0,6.0,0.0,2.15,0.7,0.0,1.0,1.0,0.0,162.54,99.0,98.89,32.0,0.81,1.08,0.4,3.26,3.24,3.17,1921.0,210.0,163.0,302.0,1246.0,253.0,237.0,276.0,1155.0,0.0,0.0,158247.0,31.0,23.0,10.0,137.0,647.7,50.28,48.94,50.6,49.26,671.0,226.0,357.0,1254.0,46.0,37.0,7.0,710.0,147.0,40.0,20.93,18.01,11.35,21.0,14.0,11.0,1261.3,897.0,904.61,8.77,7.91,8.85,50.19,50.49,49.79,649.32,49.92,48.46,49.88,48.42,669.0,232.0,368.0,1269.0,52.0,44.0,10.0,705.0,151.0,45.0,19.65,17.67,12.6,22.0,16.0,14.0,1263.25,901.0,895.28,8.77,9.74,10.12,48.51,48.38,47.67,96.24,106.18,2429.0,2319.0,6.77,1.01,160.0,29.0,114.0,23.0
8477845,2015,Trevor van Riemsdyk,CHI,D,4on5,82,8049.0,219.0,19.67,0.1,0.13,0.1,0.12,0.12,0.13,208.0,1.44,0.07,0.05,0.21,0.04,0.45,1.18,0.07,0.07,0.07,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,9.0,2.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,9.0,0.01,0.0,0.0,0.08,0.08,0.08,219.0,2.0,70.0,15.0,132.0,7.0,46.0,30.0,136.0,0.0,0.0,12736.0,0.0,0.0,0.0,0.0,17.1,1.41,1.41,1.41,1.41,16.0,7.0,3.0,26.0,1.0,0.0,0.0,16.0,6.0,1.0,0.45,0.75,0.21,0.0,1.0,0.0,26.0,23.0,23.0,0.16,0.0,0.0,1.57,1.57,1.57,123.63,12.75,12.05,12.75,12.05,134.0,41.0,52.0,227.0,14.0,14.0,5.0,133.0,29.0,13.0,3.52,3.12,6.11,1.0,3.0,10.0,227.0,175.0,175.0,2.67,4.5,4.5,10.92,10.92,10.52,3.16,21.63,54.0,387.0,0.23,0.02,3.0,2.0,2.0,2.0
8477845,2015,Trevor van Riemsdyk,CHI,D,5on4,82,2768.0,69.0,11.25,0.91,0.9,0.95,0.89,0.93,0.87,156.0,8.91,0.45,0.82,2.04,0.3,6.26,3.12,0.41,0.45,0.41,1.0,1.0,10.0,3.0,5.0,18.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,5.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.37,0.08,0.0,0.0,0.0,0.0,18.0,13.0,13.0,0.0,0.2,0.01,0.02,0.63,0.63,0.57,69.0,25.0,1.0,7.0,36.0,7.0,4.0,11.0,47.0,0.0,0.0,11067.0,0.0,2.0,1.0,7.0,38.56,4.53,4.37,4.53,4.37,33.0,22.0,14.0,69.0,5.0,3.0,0.0,40.0,9.0,6.0,1.09,1.07,2.37,0.0,2.0,3.0,69.0,55.0,55.0,0.9,0.04,0.04,5.39,5.39,5.17,3.19,0.47,0.47,0.47,0.47,3.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,0.09,0.12,0.26,0.0,0.0,1.0,4.0,4.0,4.0,0.04,0.0,0.0,0.51,0.51,0.51,17.51,1.87,251.0,32.0,0.06,0.0,2.0,0.0,2.0,0.0
