alias,canonical_name
Aatu Rty,Aatu Raty
Alex Barr-Boulet,Alex Barre-Boulet
Alex Khokhlachev,Alexander Khokhlachev
Alex Kovalev,Alexei Kovalev
Alex Nylander,Alexander Nylander
Alex Wennberg,Alexander Wennberg
Alexander Burmistrov,Alex Burmistrov
Alexander Chmelevski,Alex Chmelevski
Alexander Kerfoot,Alex Kerfoot
Alexander Petrovic,Alex Petrovic
Alexander True,Alex True
Alexandre Burrows,Alex Burrows
Alexey Toropchenko,Alexei Toropchenko
Alexis Lafrenire,Alexis Lafreniere
Aliaksei Protas,Alexei Protas
Ben Gleason,Benjamin Gleason
Bo Groulx,Benoit-Olivier Groulx
Bobby Sanguinetti,Bob Sanguinetti
Bud Holloway,George Holloway
Cam Lund,Cameron Lund
Christopher DiDomenico,Chris DiDomenico
Christopher Tanev,Chris Tanev
Daniel Cleary,Dan Cleary
Daniel O'Regan,Danny O'Regan
Danil Yurtaykin,Danil Yurtaikin
Danil Zhilkin,Danny Zhilkin
Dave Dziurzynski,David Dziurzynski
Egor Korshkov,Yegor Korshkov
Evgeny Dadonov,Evgenii Dadonov
Evgeny Medvedev,Yevgeni Medvedev
Freddy Modin,Fredrik Modin
Georgii Merkulov,Georgi Merkulov
Gerry Mayhew,Gerald Mayhew
Guillaume Desbiens,Guillame Desbiens
Isac Lundestrm,Isac Lundestrom
J.C. Beaudin,Jean-Christophe Beaudin
J.J. Moser,Janis Moser
JJ Peterka,John-Jason Peterka
Jacob Lucchini,Jake Lucchini
Jake Middleton,Jacob Middleton
Jani Hakanp,Jani Hakanpaa
Jesse Ylnen,Jesse Ylonen
Johnathan Kovacevic,Johnny Kovacevic
Jonathan Gruden,Johnny Gruden
Jonathan Lekkerimki,Jonathan Lekkerimaki
Jonathan Rheault,Jon Rheault
Josh Jacobs,Joshua Jacobs
Joshua Brown,Josh Brown
Joshua Ho-Sang,Josh Ho-Sang
Joshua Mahura,Josh Mahura
Juraj Slafkovsk,Juraj Slafkovsky
Juuso Vlimki,Juuso Valimaki
Kristopher Foucault,Kris Foucault
Louie Belpedio,Louis Belpedio
Marin Studenic,Marian Studenic
Martin Fehrvry,Martin Fehervary
Mathew Dumba,Matt Dumba
Matj  Blmel,Matej Blumel
Matt Boldy,Matthew Boldy
Matt Coronato,Matthew Coronato
Matt Savoie,Matthew Savoie
Matt Stienburg,Matthew Stienburg
Matthew Kessel,Matt Kessel
Matthew Konan,Matt Konan
Max Sauve,Maxime Sauve
Max Talbot,Maxime Talbot
Maxime Lajoie,Max Lajoie
Maxwell Crozier,Max Crozier
Michael Brandsegg-Nygrd,Michael Brandsegg-Nygard
Michael Eyssimont,Mikey Eyssimont
Michael Kostka,Mike Kostka
Michael Matheson,Mike Matheson
Michael Zalewski,Mike Zalewski
Michael Zigomanis,Mike Zigomanis
Mike Benning,Michael Benning
Mike Blunden,Michael Blunden
Mike Liambas,Michael Liambas
Mike Rupp,Michael Rupp
Mike Vernace,Michael Vernace
Mikhail Vorobyev,Mikhail Vorobyov
Mitchell Marner,Mitch Marner
Nathan Clurman,Nate Clurman
Nathan Lgar,Nathan Legare
Nic Petan,Nicolas Petan
Nicholas Abruzzese,Nick Abruzzese
Nicholas Paul,Nick Paul
Nicholas Robertson,Nick Robertson
Nicholas Shore,Nick Shore
Nick Drazenovic,Nicholas Drazenovic
Nick Merkley,Nicholas Merkley
Nikita Okhotiuk,Nikita Okhotyuk
Olivier Magnan,Olivier Magnan-Grenier
Olli Mtt,Olli Maatta
Oskar Bck,Oskar Back
P.O Joseph,Pierre-Olivier Joseph
Pat Maroon,Patrick Maroon
Patrick Cannone,Pat Cannone
Phil Varone,Philip Varone
Phillip Di Giuseppe,Phil Di Giuseppe
Ray Macias,Raymond Macias
Rob Scuderi,Robert Scuderi
Sam Poulin,Samuel Poulin
Sammy Walker,Samuel Walker
Samuel Pahlsson,Sami Pahlsson
Sasha Chmelevski,Alex Chmelevski
Steve MacIntyre,Steven MacIntyre
Steve Oleksy,Steven Oleksy
Steven Pinizzotto,Steve Pinizzotto
Steven Santini,Steve Santini
Steven Zalewski,Steve Zalewski
Tim Sttzle,Tim Stutzle
Timothy Gettinger,Tim Gettinger
Tommy Novak,Thomas Novak
Vasily Podkolzin,Vasili Podkolzin
Vitaly Abramov,Vitali Abramov
William Bitten,Will Bitten
William Borgen,Will Borgen
Zach Senyshyn,Zachary Senyshyn
Zachary Aston-Reese,Zach Aston-Reese
Zachary Hayes,Zack Hayes
Zachary Sanford,Zach Sanford
Zack Bolduc,Zachary Bolduc
