
Leon Draisaitl-EDM
Auston Matthews-TOR
Nathan MacKinnon-COL
Connor McDavid-EDM
Sidney Crosby-PIT
Sebastian Aho-CAR
Jack Eichel-VGK
Cale Makar-COL
Aleksander Barkov-FLA
Seth Jarvis-CAR
Dylan Larkin-DET
Sam Reinhart-FLA
Brady Tkachuk-OTT
Vincent Trocheck-NYR
Wyatt Johnston-DAL
David Pastrnak-BOS
John Tavares-TOR
Mark Scheifele-WPG
Robert Thomas-STL
Tage Thompson-BUF
Filip Forsberg-NSH
Roope Hintz-DAL
Bo Horvat-NYI
William Nylander-TOR
Matthew Tkachuk-FLA
Kyle Connor-WPG
Rasmus Dahlin-BUF
Nazem Kadri-CGY
Jason Robertson-DAL
Mika Zibanejad-NYR
Clayton Keller-UTA
Travis Konecny-PHI
Quinn Hughes-VAN
Evan Bouchard-EDM
Artemi Panarin-NYR
Kirill Kaprizov-MIN
Alex Tuch-BUF
Lucas Raymond-DET
Sam Bennett-FLA
Dylan Guenther-UTA
Bryan Rust-PIT
Rickard Rakell-PIT
Zach Hyman-EDM
Jordan Kyrou-STL
Drake Batherson-OTT
Carter Verhaeghe-FLA
Adam Fox-NYR
Nick Schmaltz-UTA
Jake Sanderson-OTT
Pavel Buchnevich-STL
Josh Morrissey-WPG
Marco Rossi-MIN
Andrei Svechnikov-CAR
Mark Stone-VGK
Jared McCann-SEA
Moritz Seider-DET
Ryan Nugent-Hopkins-EDM
Jonathan Huberdeau-CGY
Matthew Knies-TOR
Mats Zuccarello-MIN
Brock Boeser-VAN
MacKenzie Weegar-CGY
Brayden Schenn-STL
Pavel Dorofeyev-VGK
Shea Theodore-VGK
Thomas Harley-DAL
Anders Lee-NYI
Roman Josi-NSH
Evgeni Malkin-PIT
Conor Garland-VAN
Matty Beniers-SEA
Barrett Hayton-UTA
Pavel Zacha-BOS
Joel Eriksson Ek-MIN
Jaden Schwartz-SEA
Claude Giroux-OTT
Jamie Benn-DAL
Artturi Lehkonen-COL
Shane Pinto-OTT
